PID,RID,Age,Program,REQuizPerformance,ExpProgAca,ExpProgInd,ExpSEAca,ExpSEInd,ExpREAca,ExpREInd,passive,actors.expected,actors.found,actors.missing,associations.expected,associations.found,associations.missing,entities.expected,entities.found,entities.missing
P1,R1,25-30,Master,9,6 to 12 months,more than 12 months,more than 12 months,up to 6 months,up to 6 months,no experience,TRUE,1,1,0,2,0,2,3,1,2
P1,R2,25-30,Master,9,6 to 12 months,more than 12 months,more than 12 months,up to 6 months,up to 6 months,no experience,TRUE,1,1,0,2,0,2,3,2,1
P1,R3,25-30,Master,9,6 to 12 months,more than 12 months,more than 12 months,up to 6 months,up to 6 months,no experience,TRUE,2,2,0,2,0,2,2,1,1
P1,R4,25-30,Master,9,6 to 12 months,more than 12 months,more than 12 months,up to 6 months,up to 6 months,no experience,TRUE,0,0,0,1,1,0,2,2,0
P1,R5,25-30,Master,9,6 to 12 months,more than 12 months,more than 12 months,up to 6 months,up to 6 months,no experience,TRUE,0,0,0,2,0,2,3,2,1
P1,R6,25-30,Master,9,6 to 12 months,more than 12 months,more than 12 months,up to 6 months,up to 6 months,no experience,TRUE,0,0,0,3,2,1,4,4,0
P1,R7,25-30,Master,9,6 to 12 months,more than 12 months,more than 12 months,up to 6 months,up to 6 months,no experience,TRUE,1,1,0,2,2,0,3,2,1
P2,R1,25-30,Master,7,up to 6 months,no experience,6 to 12 months,no experience,up to 6 months,no experience,TRUE,1,1,0,2,2,0,3,3,0
P2,R2,25-30,Master,7,up to 6 months,no experience,6 to 12 months,no experience,up to 6 months,no experience,TRUE,1,1,0,2,2,0,3,3,0
P2,R3,25-30,Master,7,up to 6 months,no experience,6 to 12 months,no experience,up to 6 months,no experience,TRUE,2,2,0,2,2,0,2,2,0
P2,R4,25-30,Master,7,up to 6 months,no experience,6 to 12 months,no experience,up to 6 months,no experience,TRUE,0,0,0,1,1,0,2,2,0
P2,R5,25-30,Master,7,up to 6 months,no experience,6 to 12 months,no experience,up to 6 months,no experience,TRUE,0,0,0,2,2,0,3,3,0
P2,R6,25-30,Master,7,up to 6 months,no experience,6 to 12 months,no experience,up to 6 months,no experience,TRUE,0,0,0,3,3,0,4,4,0
P2,R7,25-30,Master,7,up to 6 months,no experience,6 to 12 months,no experience,up to 6 months,no experience,TRUE,1,0,1,2,1,1,3,3,0
P4,R1,25-30,Master,8,more than 12 months,more than 12 months,more than 12 months,more than 12 months,6 to 12 months,6 to 12 months,TRUE,1,1,0,2,1,1,3,3,0
P4,R2,25-30,Master,8,more than 12 months,more than 12 months,more than 12 months,more than 12 months,6 to 12 months,6 to 12 months,TRUE,1,1,0,2,1,1,3,3,0
P4,R3,25-30,Master,8,more than 12 months,more than 12 months,more than 12 months,more than 12 months,6 to 12 months,6 to 12 months,TRUE,2,1,1,2,0,2,2,2,0
P4,R4,25-30,Master,8,more than 12 months,more than 12 months,more than 12 months,more than 12 months,6 to 12 months,6 to 12 months,TRUE,0,0,0,1,1,0,2,2,0
P4,R5,25-30,Master,8,more than 12 months,more than 12 months,more than 12 months,more than 12 months,6 to 12 months,6 to 12 months,TRUE,0,0,0,2,1,1,3,2,1
P4,R6,25-30,Master,8,more than 12 months,more than 12 months,more than 12 months,more than 12 months,6 to 12 months,6 to 12 months,TRUE,0,0,0,3,2,1,4,4,0
P4,R7,25-30,Master,8,more than 12 months,more than 12 months,more than 12 months,more than 12 months,6 to 12 months,6 to 12 months,TRUE,1,0,1,2,0,2,3,3,0
P5,R1,25-30,Unknown,10,more than 12 months,no experience,more than 12 months,no experience,6 to 12 months,no experience,TRUE,1,1,0,2,0,2,3,1,2
